id;dclass ;dname;define;clabel
54;http://purl.bioontology.org/ontology/MESH/D019337;Carcinosarcoma;Neoplasms located in the blood and blood-forming tissue (the bone marrow and lymphatic tissue). The commonest forms are the various types of LEUKEMIA, of LYMPHOMA, and of the progressive, life-threatening forms of the MYELODYSPLASTIC SYNDROMES.;Hematological Malignancy,Hematologic Malignancies,Neoplasm, Hematological,Hematologic Neoplasm,Hematopoietic Malignancies,Hematologic Malignancy,Malignancy, Hematologic,Neoplasm, Hematologic,Neoplasms, Hematopoietic,Malignancies, Hematopoietic,Hematopoietic Neoplasms,Neoplasms, Hematologic,Hematopoietic Malignancy,Hematological Neoplasms,Malignancies, Hematological,Neoplasms, Hematological,Hematological Neoplasm,Hematopoietic Neoplasm,Hematological Malignancies,Malignancies, Hematologic,Malignancy, Hematological,Malignancy, Hematopoietic,Neoplasm, Hematopoietic
55;http://purl.bioontology.org/ontology/MESH/D002559;Carmustine;Discharge of cerebrospinal fluid through the nose. Common etiologies include trauma, neoplasms, and prior surgery, although the condition may occur spontaneously. (Otolaryngol Head Neck Surg 1997 Apr;Rhinorrhea, Post-Traumatic, Cerebrospinal Fluid,Rhinorrheas, Cerebrospinal Fluid,Rhinorrhea, Cerebrospinal,Cerebrospinal Fluid Rhinorrhea, Post Traumatic,CSF Rhinorrheas,Traumatic Rhinorrhea, Cerebrospinal Fluid,Cerebrospinal Fluid Rhinorrhea, Traumatic,Traumatic Cerebrospinal Fluid Rhinorrhea,Post-Traumatic Rhinorrhea, Cerebrospinal Fluid,Cerebrospinal Fluid Rhinorrhea, Spontaneous,Post-Traumatic Cerebrospinal Fluid Rhinorrhea,Cerebrospinal Fluid Rhinorrhea, Post-Traumatic,Cerebrospinal Rhinorrhea,Cerebrospinal Rhinorrheas,CSF Rhinorrhea,Rhinorrhea, CSF,Rhinorrhea, Cerebrospinal Fluid, Spontaneous,Rhinorrhea, Cerebrospinal Fluid,Rhinorrhea, Traumatic Cerebrospinal Fluid,Post Traumatic Cerebrospinal Fluid Rhinorrhea,Spontaneous Cerebrospinal Fluid Rhinorrhea,Rhinorrheas, Cerebrospinal,Rhinorrhea, Spontaneous Cerebrospinal Fluid,Spontaneous Rhinorrhea, Cerebrospinal Fluid,Rhinorrhea, Cerebrospinal Fluid, Traumatic,Rhinorrhea, Cerebrospinal Fluid, Post-Traumatic,Cerebrospinal Fluid Rhinorrheas,Post Traumatic Rhinorrhea, Cerebrospinal Fluid,Rhinorrheas, CSF
56;http://purl.bioontology.org/ontology/MESH/D031901;CD24 Antigen;A group of diseases arising from pregnancy that are commonly associated with hyperplasia of trophoblasts (TROPHOBLAST) and markedly elevated human CHORIONIC GONADOTROPIN. They include HYDATIDIFORM MOLE, invasive mole (HYDATIDIFORM MOLE, INVASIVE), placental-site trophoblastic tumor (TROPHOBLASTIC TUMOR, PLACENTAL SITE), and CHORIOCARCINOMA. These neoplasms have varying propensities for invasion and spread.|Gestational Trophoblastic diseases that are malignant. It does not include HYDATIDIFORM MOLE. However, there is a minority of authors that consider the term gestational trophoblastic neoplasia synonymous with gestational trophoblastic disease.;Trophoblastic Disease, Gestational,Gestational Trophoblastic Diseases,Disease, Gestational Trophoblastic,Gestational Trophoblastic Neoplasia,Trophoblastic Diseases, Gestational,Gestational Trophoblastic Neoplasms,Neoplasms, Gestational Trophoblastic,Trophoblastic Neoplasm, Gestational,Neoplasia, Gestational Trophoblastic,Gestational Trophoblastic Neoplasm,Neoplasm, Gestational Trophoblastic,Trophoblastic Neoplasms, Gestational,Trophoblastic Neoplasia, Gestational,Diseases, Gestational Trophoblastic
57;http://purl.bioontology.org/ontology/MESH/D017499;CD79 Antigens;A heritable disorder of faulty keratinization characterized by the proliferation of abnormal clones of KERATINOCYTES and lesions showing varying atrophic patches surrounded by an elevated, keratotic border. These keratotic lesions can progress to overt cutaneous neoplasm. Several clinical variants are recognized, including porokeratosis of Mibelli, linear porokeratosis, disseminated superficial actinic porokeratosis, palmoplantar porokeratosis, and punctate porokeratosis.|The classical form of porokeratosis with isolated lesions.;Porokeratosis, Palmar, Plantar, And Disseminated 1,Porokeratosis Palmaris et Plantaris Disseminata,Porokeratosis, Punctate,Porokeratosis Plantaris, Palmaris, Et Disseminata,Porokeratosis, Disseminated Superficial Actinic,Type 2 Punctate PPK,Mibelli Porokeratosis,Palmoplantar Porokeratosis,Punctate Porokeratosis,Keratoderma Palmoplantar, Punctate Type 2,Porokeratosis Plantaris Palmaris et Disseminata,Disseminated Superficial Actinic Porokeratosis,Porokeratosis of Mibelli,Porokeratosis, Disseminated Superficial Actinic, 2,Linear Porokeratosis,Porokeratosis, Mibelli,Porokeratosis, Linear,Porokeratosis, Disseminated Superficial Actinic 2,Porokeratosis, Palmoplantar
58;http://purl.bioontology.org/ontology/MESH/D005918;Cerebellar Neoplasms;A blue-red, extremely painful vascular neoplasm involving a glomeriform arteriovenous anastomosis (glomus body), which may be found anywhere in the skin, most often in the distal portion of the fingers and toes, especially beneath the nail. It is composed of specialized pericytes (sometimes termed glomus cells), usually in single encapsulated nodular masses which may be several millimeters in diameter (From Stedman, 27th ed). CHEMODECTOMA, a tumor of NEURAL CREST origin, is also sometimes called a glomus tumor.;Glomangioma,Glomus Tumors,Tumor, Glomus,Tumors, Glomus,Glomangiomas
59;http://purl.bioontology.org/ontology/MESH/D005009;Cerebral Ventricle Neoplasms;Alkylating antineoplastic agent used especially in bladder neoplasms. It is toxic to hair follicles, gastro-intestinal tract, and vasculature.;Etoglucid,Oxirane, 2,2'-(2,5,8,11-tetraoxadodecane-1,12-diyl)bis-,Epodyl
60;http://purl.bioontology.org/ontology/MESH/D000314;Cerebrospinal Fluid Rhinorrhea;Neoplasm derived from displaced cells (rest cells) of the primordial ADRENAL GLANDS, generally in patients with CONGENITAL ADRENAL HYPERPLASIA. Adrenal rest tumors have been identified in TESTES;Tumors, Adrenal Rest,Rest Tumors, Adrenal,Adrenal Cortical Rest Tumor,Rest Tumor, Adrenal,Adrenal Rest Tumors,Tumor, Adrenal Rest
61;http://purl.bioontology.org/ontology/MESH/D003882;Chediak-Higashi Syndrome;A subacute or chronic inflammatory disease of muscle and skin, marked by proximal muscle weakness and a characteristic skin rash. The illness occurs with approximately equal frequency in children and adults. The skin lesions usually take the form of a purplish rash (or less often an exfoliative dermatitis) involving the nose, cheeks, forehead, upper trunk, and arms. The disease is associated with a complement mediated intramuscular microangiopathy, leading to loss of capillaries, muscle ischemia, muscle-fiber necrosis, and perifascicular atrophy. The childhood form of this disease tends to evolve into a systemic vasculitis. Dermatomyositis may occur in association with malignant neoplasms. (From Adams et al., Principles of Neurology, 6th ed, pp1405-6);Dermatomyositides, Childhood Type,Dermatomyositides, Adult Type,Myositides, Juvenile,Dermatopolymyositis,Polymyositis-Dermatomyositides,Dermatomyositis, Childhood Type,Juvenile Dermatomyositis,Polymyositis Dermatomyositis,Dermatomyositides,Juvenile Dermatomyositides,Juvenile Myositides,Polymyositis-Dermatomyositis,Childhood Type Dermatomyositis,Myositis, Juvenile,Adult Type Dermatomyositis,Adult Type Dermatomyositides,Childhood Type Dermatomyositides,Dermatomyositides, Juvenile,Dermatopolymyositides,Juvenile Myositis,Dermatomyositis, Adult Type,Dermatomyositis, Juvenile
62;http://purl.bioontology.org/ontology/MESH/D005185;Chemoembolization, Therapeutic;Benign or malignant neoplasms of the FALLOPIAN TUBES. They are uncommon. If they develop, they may be located in the wall or within the lumen as a growth attached to the wall by a stalk.;Cancer, Fallopian Tube,Fallopian Tube Cancer,Cancer of the Fallopian Tube,Fallopian Tube Neoplasm,Neoplasms, Fallopian Tube,Cancers, Fallopian Tube,Fallopian Tube Cancers,Neoplasm, Fallopian Tube
63;http://purl.bioontology.org/ontology/MESH/D008527;Chemotherapy, Cancer, Regional Perfusion;A malignant neoplasm that may be classified either as a glioma or as a primitive neuroectodermal tumor of childhood (see NEUROECTODERMAL TUMOR, PRIMITIVE). The tumor occurs most frequently in the first decade of life with the most typical location being the cerebellar vermis. Histologic features include a high degree of cellularity, frequent mitotic figures, and a tendency for the cells to organize into sheets or form rosettes. Medulloblastoma have a high propensity to spread throughout the craniospinal intradural axis. (From DeVita et al., Cancer: Principles and Practice of Oncology, 5th ed, pp2060-1);Melanocytic Medulloblastomas,Childhood Medulloblastomas,Medulloblastoma, Melanocytic,Medulloblastoma, Childhood,Medulloblastomas,Melanocytic Medulloblastoma,Adult Medulloblastoma,Adult Medulloblastomas,Medulloblastoma, Adult,Desmoplastic Medulloblastomas,Medulloblastomas, Desmoplastic,Medulloblastomas, Childhood,Childhood Medulloblastoma,Medulloblastomas, Adult,Medulloblastomas, Melanocytic,Desmoplastic Medulloblastoma,Sarcoma, Cerebellar, Circumscribed Arachnoidal,Medullomyoblastomas,Arachnoidal Cerebellar Sarcoma, Circumscribed,Medulloblastoma, Desmoplastic,Medullomyoblastoma
64;http://purl.bioontology.org/ontology/MESH/D009386;Chondroma;The condition of a pattern of malignancies within a family, but not every individual's necessarily having the same neoplasm. Characteristically the tumor tends to occur at an earlier than average age, individuals may have more than one primary tumor, the tumors may be multicentric, usually more than 25 percent of the individuals in direct lineal descent from the proband are affected, and the cancer predisposition in these families behaves as an autosomal dominant trait with about 60 percent penetrance.;Hereditary Cancer Syndrome,Hereditary Neoplastic Syndromes,Cancer Syndromes, Hereditary,Syndromes, Hereditary Neoplastic,Hereditary Cancer Syndromes,Cancer Syndrome, Hereditary,Syndrome, Hereditary Cancer,Neoplastic Syndrome, Hereditary,Syndromes, Hereditary Cancer,Syndrome, Hereditary Neoplastic,Hereditary Neoplastic Syndrome
65;http://purl.bioontology.org/ontology/MESH/D018317;Chondrosarcoma;Neoplasms which arise from nerve sheaths formed by SCHWANN CELLS in the PERIPHERAL NERVOUS SYSTEM or by OLIGODENDROCYTES in the CENTRAL NERVOUS SYSTEM. Malignant peripheral nerve sheath tumors, NEUROFIBROMA, and NEURILEMMOMA are relatively common tumors in this category.;Neoplasms, Nerve Sheath,Tumors of the Nerve Sheath,Perineurioma,Nerve Sheath Neoplasm,Perineuriomas,Nerve Sheath Tumors, Peripheral,Peripheral Nerve Sheath Tumors,Nerve Sheath Tumors,Neoplasm, Nerve Sheath
66;http://purl.bioontology.org/ontology/MESH/D000163;Choroid Diseases;An acquired defect of cellular immunity associated with infection by the human immunodeficiency virus (HIV), a CD4-positive T-lymphocyte count under 200 cells/microliter or less than 14% of total lymphocytes, and increased susceptibility to opportunistic infections and malignant neoplasms. Clinical manifestations also include emaciation (wasting) and dementia. These elements reflect criteria for AIDS as defined by the CDC in 1993.;Immunologic Deficiency Syndrome, Acquired,Immunodeficiency Syndrome, Acquired,Syndromes, Acquired Immuno-Deficiency,AIDS,Syndrome, Acquired Immuno-Deficiency,Acquired Immunodeficiency Syndromes,Acquired Immuno Deficiency Syndrome,Immunodeficiency Syndromes, Acquired,Immuno-Deficiency Syndromes, Acquired,Acquired Immuno-Deficiency Syndromes,Syndrome, Acquired Immunodeficiency,Syndromes, Acquired Immunodeficiency,Acquired Immune Deficiency Syndrome,Immuno-Deficiency Syndrome, Acquired,Acquired Immuno-Deficiency Syndrome
67;http://purl.bioontology.org/ontology/MESH/D009364;Colorectal Neoplasms, Hereditary Nonpolyposis;The local recurrence of a neoplasm following treatment. It arises from microscopic cells of the original neoplasm that have escaped therapeutic intervention and later become clinically visible at the original site.;Local Neoplasm Recurrences,Neoplasm Recurrence, Locoregional,Neoplasm Recurrences, Local,Recurrences, Local Neoplasm,Locoregional Neoplasm Recurrences,Recurrences, Locoregional Neoplasm,Locoregional Neoplasm Recurrence,Neoplasm Recurrences, Locoregional,Recurrence, Local Neoplasm,Local Neoplasm Recurrence,Recurrence, Locoregional Neoplasm
68;http://purl.bioontology.org/ontology/MESH/D018273;Cranial Nerve Neoplasms;A primary malignant neoplasm of the pancreatic ISLET CELLS. Usually it involves the non-INSULIN-producing cell types, the PANCREATIC ALPHA CELLS and the pancreatic delta cells (SOMATOSTATIN-SECRETING CELLS) in GLUCAGONOMA and SOMATOSTATINOMA, respectively.;Islet Cell Carcinoma,Carcinomas, Islet Cell,Islet Cell Carcinomas,Islet Cell Tumor, Malignant
69;http://purl.bioontology.org/ontology/MESH/D030361;Craniopharyngioma;Neoplasms of the skin and mucous membranes caused by papillomaviruses. They are usually benign but some have a high risk for malignant progression.;Papillomavirus Infection, Human,HPV Infection,HPV Infections,Papillomavirus Infection,Papillomavirus Infections, Human,Human Papillomavirus Infection,Human Papillomavirus Infections
70;http://purl.bioontology.org/ontology/MESH/D009298;Cyclin-Dependent Kinase Inhibitor p15;Focal accumulations of EDEMA fluid in the NASAL MUCOSA accompanied by HYPERPLASIA of the associated submucosal connective tissue. Polyps may be NEOPLASMS, foci of INFLAMMATION, degenerative lesions, or malformations.;Nasal Polyp,Polyps, Nasal,Polyp, Nasal
71;http://purl.bioontology.org/ontology/MESH/D009940;Cyclin-Dependent Kinase Inhibitor p18;An organization of cells into an organ-like structure. Organoids can be generated in culture. They are also found in certain neoplasms.;Organoid
72;http://purl.bioontology.org/ontology/MESH/D056921;Cyclin-Dependent Kinase Inhibitor p57;A nuclear receptor coactivator with specificity for ESTROGEN RECEPTORS and PROGESTERONE RECEPTORS. It contains a histone acetyltransferase activity that may play a role in CHROMATIN REMODELING during the process of nuclear receptor-induced transcription. The coactivator has been found at elevated levels in certain HORMONE-DEPENDENT NEOPLASMS such as those found in BREAST CANCER.;Amplified in Breast Cancer-1 Protein,Thyroid Hormone Receptor Activator Molecule 1,Nuclear Receptor Coactivator-3,Amplified in Breast Cancer 1 Protein,Receptor-Associated Coactivator 3,Receptor Associated Coactivator 3,Steroid Receptor Coactivator 3
73;http://purl.bioontology.org/ontology/MESH/D054685;Cystadenocarcinoma;A rare neoplasm of large B-cells usually presenting as serious effusions without detectable tumor masses. The most common sites of involvement are the pleural, pericardial, and peritoneal cavities. It is associated with HUMAN HERPESVIRUS 8, most often occurring in the setting of immunodeficiency.;Lymphomas, Primary Effusion,Effusion Lymphomas, Primary,Primary Effusion Lymphoma,Primary Effusion Lymphomas,Effusion Lymphoma, Primary
74;http://purl.bioontology.org/ontology/MESH/D009808;Cystadenocarcinoma, Serous;Neoplasms produced from tooth-forming tissues.;Tissue Neoplasm, Dental,Tissue Neoplasms, Dental,Tumors, Odontogenic,Neoplasms, Dental Tissue,Odontogenic Tumor,Tumor, Odontogenic,Dental Tissue Neoplasm,Neoplasm, Dental Tissue,Dental Tissue Neoplasms
75;http://purl.bioontology.org/ontology/MESH/D003537;Cystadenofibroma;A benign neoplasm derived from glandular epithelium, in which cystic accumulations of retained secretions are formed. In some instances, considerable portions of the neoplasm, or even the entire mass, may be cystic. (Stedman, 25th ed);Cystadenomas
76;http://purl.bioontology.org/ontology/MESH/D019046;Cystadenoma;Neoplasms located in the bone marrow. They are differentiated from neoplasms composed of bone marrow cells, such as MULTIPLE MYELOMA. Most bone marrow neoplasms are metastatic.;Bone Marrow Neoplasm,Neoplasm, Bone Marrow,Neoplasms, Bone Marrow
77;http://purl.bioontology.org/ontology/MESH/Q000556;Cystadenoma, Papillary;Used with neoplasms to indicate the secondary location to which the neoplastic process has metastasized.;metastatic
78;http://purl.bioontology.org/ontology/MESH/D055653;Daunorubicin;A form of LYNCH SYNDROME II associated with cutaneous SEBACEOUS GLAND NEOPLASMS. Muir-Torre syndrome is also associated with other visceral malignant diseases include colorectal, endometrial, urological, and upper gastrointestinal neoplasms.;Muir Torre Syndrome,Syndrome, Muir-Torre
79;http://purl.bioontology.org/ontology/MESH/D059609;Dendritic Cell Sarcoma, Follicular;Cytoplasmic hyaline inclusions in HEPATOCYTES. They are associated with ALCOHOLIC STEATOHEPATITIS and non-alcoholic STEATOHEPATITIS, but are also present in benign and malignant hepatocellular neoplasms, and metabolic, toxic, and chronic cholestatic LIVER DISEASES.;Bodies, Mallory
80;http://purl.bioontology.org/ontology/MESH/D009918;Dermatomyositis;Neoplasms of the bony orbit and contents except the eyeball.;Orbital Neoplasm,Neoplasms, Orbital,Neoplasm, Orbital
81;http://purl.bioontology.org/ontology/MESH/D008207;Drug Resistance, Neoplasm;Transfer of a neoplasm from its primary site to lymph nodes or to distant parts of the body by way of the lymphatic system.;Lymphatic Metastases,Metastasis, Lymphatic,Metastases, Lymphatic
82;http://purl.bioontology.org/ontology/MESH/D011033;Dysgerminoma;Caustic extract from the roots of Podophyllum peltatum and P. emodi. It contains PODOPHYLLOTOXIN and its congeners and is very irritating to mucous membranes and skin. Podophyllin is a violent purgative that may cause CNS damage and teratogenesis. It is used as a paint for warts, skin neoplasms, and senile keratoses.;Podophyllum Resin,Resin, Podophyllum
83;http://purl.bioontology.org/ontology/MESH/D027425;Early Detection of Cancer;A sequence-related subfamily of ATP-BINDING CASSETTE TRANSPORTERS that actively transport organic substrates. Although considered organic anion transporters, a subset of proteins in this family have also been shown to convey drug resistance to neutral organic drugs. Their cellular function may have clinical significance for CHEMOTHERAPY in that they transport a variety of ANTINEOPLASTIC AGENTS. Overexpression of proteins in this class by NEOPLASMS is considered a possible mechanism in the development of multidrug resistance (DRUG RESISTANCE, MULTIPLE). Although similar in function to P-GLYCOPROTEINS, the proteins in this class share little sequence homology to the ATP-BINDING CASSETTE, SUB-FAMILY B, MEMBER 1 family of proteins.;Resistance-Associated Protein, Multidrug,ATP-Binding Cassette, Sub-Family C Proteins,Multispecific Organic Anion Transporter,Multidrug Resistance-Associated Protein,Multidrug Resistance Associated Proteins,Multidrug Resistance Associated Protein,MOAT Protein,Multispecific Organic Anion Transport Proteins,ATP Binding Cassette, Sub Family C Proteins
84;http://purl.bioontology.org/ontology/MESH/D009361;Eccrine Porocarcinoma;Ability of neoplasms to infiltrate and actively destroy surrounding tissue.;Invasion, Neoplasm,Neoplasm Invasion,Invasiveness, Neoplasm
85;http://purl.bioontology.org/ontology/MESH/D005705;Endometrial Neoplasms;Diseases of the GALLBLADDER. They generally involve the impairment of BILE flow, GALLSTONES in the BILIARY TRACT, infections, neoplasms, or other diseases.;Diseases, Gallbladder,Bladder Disease, Gall,Disease, Gallbladder,Gall Bladder Disease,Bladder Diseases, Gall,Disease, Gall Bladder,Gallbladder Disease,Gall Bladder Diseases,Diseases, Gall Bladder
86;http://purl.bioontology.org/ontology/MESH/D057091;Endometrial Stromal Tumors;Benign adnexal neoplasm whose glandular secretion includes the release of part of the secreting cell.|A benign adnexal neoplasm derived from cells of the terminal duct of eccrine or apocrine SWEAT GLAND lineage. They typically manifest as solitary papules and occur only in the skin but unlike in ACROSPIROMA involves the epidermis.|Benign adnexal neoplasm whose glandular secretion does not release part of the secreting cell. The malignant counterpart of an eccrine poroma is called an ECCRINE POROCARCINOMA.;Poromatoses,Syringofibroadenoma,Poromas,Poroma, Apocrine,Apocrine Poroma,Duct Tumor, Dermal,Dermal Duct Tumors,Syringoacanthomas,Intraepidermal Poroma,Eccrine Poroma,Hidracanthoma Simplex,Apocrine Poromas,Poromatosis,Syringoacanthoma,Poroma, Eccrine,Poroma, Intraepidermal,Tumor, Dermal Duct,Dermal Duct Tumor,Syringofibroadenomas,Eccrine Poromas,Intraepidermal Poromas
87;http://purl.bioontology.org/ontology/MESH/D048069;Ependymoma;A family of proteins that were originally identified by their ability to cause NECROSIS of NEOPLASMS. Their necrotic effect on cells is mediated through TUMOR NECROSIS FACTOR RECEPTORS which induce APOPTOSIS.;Necrosis Factors, Tumor,TNF Receptor Ligands,Tumor Necrosis Factor Superfamily Ligands,Receptor Ligands, TNF
88;http://purl.bioontology.org/ontology/MESH/D000283;Epidermodysplasia Verruciformis;The instillation or other administration of drugs into the bladder, usually to treat local disease, including neoplasms.;Intravesical Instillation,Injection, Intravesical,Administrations, Intravesical Drug,Bladder Drug Administrations,Intravesical Instillations,Instillations, Intravesical,Administrations, Intravesical,Injections, Intravesical,Administrations, Bladder Drug,Bladder Instillations,Intravesical Administration,Administration, Intravesical Drug,Administration, Bladder Drug,Intravesical Injection,Drug Administration, Intravesical,Instillation, Intravesical,Drug Administration, Bladder,Instillations, Bladder,Intravesical Drug Administrations,Drug Administrations, Intravesical,Instillation, Bladder,Drug Administrations, Bladder,Intravesical Administrations,Bladder Drug Administration,Bladder Instillation,Intravesical Injections,Intravesical Drug Administration
89;http://purl.bioontology.org/ontology/MESH/D018239;Epidural Neoplasms;A radiosensitive, malignant neoplasm of the testis, thought to be derived from primordial germ cells of the sexually undifferentiated embryonic gonad. There are three variants: classical (typical), the most common type;Seminomas
90;http://purl.bioontology.org/ontology/MESH/D018286;Epithelial-Mesenchymal Transition;An epithelial neoplasm characterized by unusually large anaplastic cells. It is highly malignant with fulminant clinical course, bizarre histologic appearance and poor prognosis. It is most common in the lung and thyroid. (From Stedman, 25th ed & Segen, Dictionary of Modern Medicine, 1992);Giant Cell Carcinoma,Giant Cell Carcinomas,Carcinomas, Giant Cell,Cell Carcinomas, Giant,Cell Carcinoma, Giant
91;http://purl.bioontology.org/ontology/MESH/D018302;Ethionine;Neoplasms composed of neuroepithelial cells, which have the capacity to differentiate into NEURONS, oligodendrocytes, and ASTROCYTES. The majority of craniospinal tumors are of neuroepithelial origin. (From Dev Biol 1998 Aug 1;Spongioblastoma, Polar,Neuroepithelial Neoplasm,Neuroepithelial Tumor,Ependymoastrocytoma,Spongioblastomas, Polar,Tumor, Neuroepithelial,Tumors, Neuroepithelial,Astroblastoma,Astroblastomas,Neoplasm, Neuroepithelial,Gliomatosis Cerebri,Polar Spongioblastomas,Neuroepithelial Neoplasms,Ependymoastrocytomas,Neuroepithelial Tumors,Polar Spongioblastoma
92;http://purl.bioontology.org/ontology/MESH/D019940;Ethoglucid;The B-cell leukemia/lymphoma-1 genes, associated with various neoplasms when overexpressed. Overexpression results from the t(11;PRAD1 Gene,c-bcl-1 Genes,c bcl 1 Proto Oncogenes,bcl 1 Genes,Cyclin D1 Genes,Genes, bcl 1,PRAD1 Genes,Gene, c-bcl-1,Genes, c-bcl-1,Cyclin D1 Gene,c-bcl-1 Proto-Oncogenes,Genes, Cyclin D1,Proto-Oncogene, c-bcl-1,bcl-1 Genes,Gene, bcl-1,Gene, Cyclin D1,bcl-1 Gene,c-bcl-1 Gene,Proto-Oncogenes, c-bcl-1,Gene, PRAD1,Genes, PRAD1,c-bcl-1 Proto-Oncogene,c bcl 1 Genes
93;http://purl.bioontology.org/ontology/MESH/D012674;Fallopian Tube Diseases;A species of toxic plants of the Compositae. The poisonous compounds are alkaloids which cause cattle diseases, neoplasms, and liver damage and are used to produce cancers in experimental animals.;Ragworts,Ragwort,Groundsels,Senecios,Groundsel
94;http://purl.bioontology.org/ontology/MESH/D008444;Fallopian Tube Neoplasms;Tumors or cancer of the MAXILLARY SINUS. They represent the majority of paranasal neoplasms.;Cancer of Maxillary Sinus,Cancers, Maxillary Sinus,Cancer, Maxillary Sinus,Neoplasm, Maxillary Sinus,Maxillary Sinus Neoplasm,Maxillary Sinus Cancers,Neoplasms, Maxillary Sinus,Maxillary Sinus Cancer
95;http://purl.bioontology.org/ontology/MESH/D018195;Fatty Acid Synthase, Type I;A malignant neoplasm arising simultaneously or consecutively in mesodermal tissue and glandular epithelium of the same part. (Stedman, 25th ed);Adenosarcomas
96;http://purl.bioontology.org/ontology/MESH/D009217;Fibroblast Growth Factor 8;A general term for a malignant neoplasm derived from muscular tissue. (Stedman, 25th ed);Myosarcomas
97;http://purl.bioontology.org/ontology/MESH/D000903;Fluoxymesterone;Chemical substances, produced by microorganisms, inhibiting or preventing the proliferation of neoplasms.;Antineoplastic Antibiotics,Cytotoxic Antibiotics,Antibiotics, Cytotoxic
98;http://purl.bioontology.org/ontology/MESH/D055756;Gallbladder Diseases;Primary or secondary neoplasm in the ARACHNOID or SUBARACHNOID SPACE. It appears as a diffuse fibrotic thickening of the MENINGES associated with variable degrees of inflammation.;Carcinomatoses, Leptomeningeal,Meningitides, Carcinomatous,Carcinomatous Meningitides,Carcinomatosis, Leptomeningeal,Carcinomatoses, Meningeal,Leptomeningeal Carcinomatosis,Leptomeningeal Carcinomatoses,Meningeal Carcinomatoses,Carcinomatous Meningitis,Carcinomatosis, Meningeal,Meningitis, Carcinomatous
99;http://purl.bioontology.org/ontology/MESH/D009214;gamma-Synuclein;A benign neoplasm of muscular tissue. (Stedman, 25th ed);Myomas
100;http://purl.bioontology.org/ontology/MESH/D050506;Ganglioneuroblastoma;Proteins produced from GENES that have mutated by the fusing of protein coding regions of more than one gene. Such hybrid proteins are responsible for some instances of ANTIBIOTIC RESISTANCE and defective biological processes such as NEOPLASMS.;Chimeric Proteins, Mutant,Proteins, Mutant Chimeric,Mutant Hybrid Proteins,Hybrid Proteins, Mutant,Proteins, Mutant Hybrid
101;http://purl.bioontology.org/ontology/MESH/D054403;Ganglioneuroma;A neoplasm of prolymphocytes affecting the blood, bone marrow, and spleen. It is characterized by prolymphocytes exceeding 55% of the lymphoid cells in the blood and profound splenomegaly.;B-Cell Prolymphocytic Leukemia,Prolymphocytic Leukemia, B-Cell,B Cell Prolymphocytic Leukemia,Leukemias, B-Cell Prolymphocytic,Prolymphocytic Leukemias, B-Cell,Leukemia, B-Cell Prolymphocytic,B-Cell Prolymphocytic Leukemias
102;http://purl.bioontology.org/ontology/MESH/D018815;Genes, bcl-1;Retrovirus-associated DNA sequences (erbB) originally isolated from, or related to, the avian erythroblastosis virus (AEV). These genes code for the epidermal growth factor receptor (EGFR) family of receptors which is important in the control of normal cell proliferation and in the pathogenesis of human cancer. The genes include erbB-1 (GENES, ERBB-1), erbB-2 (GENES, ERBB-2), and erbB-3, all of which show abnormalities of expression in various human neoplasms.;erbB-3 Genes,erbB-3 Gene,Genes, c-erbB-3,erbB 3 Genes,c-erbB-3 Gene,c-erbB-3 Genes,c erbB 3 Genes,erbB Gene,erbB Genes
103;http://purl.bioontology.org/ontology/MESH/D006607;Genes, erbB;A benign neoplasm derived from epithelial cells of sweat glands. (Stedman, 25th ed);Syringadenoma,Adenomas, Sweat Gland,Sweat Gland Adenomas,Syringadenomas,Sweat Gland Adenoma
104;http://purl.bioontology.org/ontology/MESH/D007573;Genes, Intracisternal A-Particle;Cancers or tumors of the MAXILLA or MANDIBLE unspecified. For neoplasms of the maxilla, MAXILLARY NEOPLASMS is available and of the mandible, MANDIBULAR NEOPLASMS is available.;Jaw Cancers,Neoplasm, Jaw,Cancer, Jaw,Neoplasms, Jaw,Jaw Cancer,Jaw Neoplasm,Cancers, Jaw,Cancer of Jaw,Cancer of the Jaw
105;http://purl.bioontology.org/ontology/MESH/D015173;Genes, Neoplasm;Primary and metastatic (secondary) tumors of the brain located above the tentorium cerebelli, a fold of dura mater separating the CEREBELLUM and BRAIN STEM from the cerebral hemispheres and DIENCEPHALON (i.e., THALAMUS and HYPOTHALAMUS and related structures). In adults, primary neoplasms tend to arise in the supratentorial compartment, whereas in children they occur more frequently in the infratentorial space. Clinical manifestations vary with the location of the lesion, but SEIZURES;Cancer, Supratentorial,Supratentorial Tumors,Supratentorial Neoplasm,Supratentorial Neoplasms, Primary,Supratentorial Cancer,Neoplasm, Supratentorial,Supratentorial Neoplasms, Malignant,Supratentorial Neoplasms, Benign,Tumor, Supratentorial,Neoplasms, Primary Supratentorial,Neoplasms, Supratentorial,Supratentorial Neoplasm, Benign,Neoplasms, Benign Supratentorial,Cancers, Supratentorial,Supratentorial Neoplasm, Malignant,Benign Supratentorial Neoplasms,Neoplasm, Benign Supratentorial,Neoplasms, Malignant Supratentorial,Malignant Supratentorial Neoplasm,Supratentorial Cancers,Primary Supratentorial Neoplasm,Neoplasm, Primary Supratentorial,Supratentorial Neoplasm, Primary,Malignant Supratentorial Neoplasms,Primary Supratentorial Neoplasms,Tumors, Supratentorial,Supratentorial Tumor,Neoplasm, Malignant Supratentorial,Benign Supratentorial Neoplasm
